Company,Category,FileYear,FilenameYears,File,Filename,ValidPdf,Pages,Title,YearsInFirstPages,FirstText,SizeBytes,SizeMB,Error,Path
ABT,ESG / Sustainability,2022,2022,ABT\ABT_ESG_2022.pdf,ABT_ESG_2022.pdf,True,146,Abbott Sustainability Report 2022,2022;2030,"GLOBAL SUSTAINABILITY REPORT 2022 Sustainability is about operating responsibly to deliver long-term impact. At Abbott, we’re strengthening the resilience of our company so we can continue to shape the future of healthcare — to help more people live better, healthier lives. In this report, we detail our progress against the goals of our 2030 Sustainability Plan. The data presented reflects 2022 performance unless oth",49119162,46.84,,C:\Users\Jhj\Downloads\esg_reports\ABT\ABT_ESG_2022.pdf
ABT,ESG / Sustainability,2023,2023,ABT\ABT_ESG_2023.pdf,ABT_ESG_2023.pdf,True,126,,2023,GLOBAL SUSTAINABILITY REPORT 2023 TABLE OF CONTENTS ON THE COVER: Abbott and Abbott Fund have been working with local groups and the Tanzanian government to strengthen the healthcare system and advance access to care in Tanzania for more than 20 years. A key element of these efforts has been supporting training in emergency medicine. On the cover are some of our training program’s 2023 graduates. ABOUT About Abbott 0,9122887,8.7,,C:\Users\Jhj\Downloads\esg_reports\ABT\ABT_ESG_2023.pdf
ABT,ESG / Sustainability,2024,2024,ABT\ABT_ESG_2024.pdf,ABT_ESG_2024.pdf,True,98,,2024;2030,"GLOBAL SUSTAINABILITY REPORT 2024 GLOBAL SUSTAINABILITY REPORT 2024 TABLE OF CONTENTS ABOUT 04 OUR 2030 SUSTAINABILITY PLAN 05 Progress Against Our 2030 Sustainability Plan 07 INNOVATE FOR ACCESS AND AFFORDABILITY 15 Make Access and Affordability Core to New Product Innovation 16 Transform Care for Chronic Diseases, Malnutrition, and Infectious Diseases 17 Advance Health Access Through Partnerships 18 RESPONSIBLY CON",8297076,7.91,,C:\Users\Jhj\Downloads\esg_reports\ABT\ABT_ESG_2024.pdf
AMZN,ESG / Sustainability,2022,2022,AMZN\AMZN_ESG_2022.pdf,AMZN_ESG_2022.pdf,True,82,Building a Better Future Together 2022 Amazon Sustainability Report,2022,Building a Better Future Together 2022 Amazon Sustainability Report IntroductionSustainabilityPeopleAppendix Contents Introduction 2 About Amazon 3 Opening Letter From Kara Hurst 4 Our Business 5 2022 Year in Review 6 Goals Summary Sustainability 8 Our Sustainability Approach Driving Climate Solutions 9 Carbon 22 Renewable Energy Reducing Packaging and Waste 26 Packaging 30 Waste and Circularity Protecting Natural Re,8330454,7.94,,C:\Users\Jhj\Downloads\esg_reports\AMZN\AMZN_ESG_2022.pdf
AMZN,ESG / Sustainability,2023,2023,AMZN\AMZN_ESG_2023.pdf,AMZN_ESG_2023.pdf,True,98,,2023,Amazon Sustainability Report 2023 Contents Overview 3 Introduction 4 A Letter from Our Chief Sustainability Officer 5 How We Work 6 Goals Summary 7 2023 Year in Review Environment 9 Carbon 24 Carbon-Free Energy 29 Packaging 34 Waste and Circularity 40 Water Value Chain 45 Human Rights 50 Responsible Supply Chain 58 Sustainable Products and Materials 64 Supplier Diversity 67 Community Impact People 75 Employee Experie,15753155,15.02,,C:\Users\Jhj\Downloads\esg_reports\AMZN\AMZN_ESG_2023.pdf
AMZN,ESG / Sustainability,2024,2024,AMZN\AMZN_ESG_2024.pdf,AMZN_ESG_2024.pdf,True,57,2024 Amazon Sustainability Report,2024,2024 Amazon Sustainability Report 2 Contents Overview 3 Introduction 4 A Letter from Our C hief Sustainability Officer 5 How We Work 6 Goals Summary 7 2024 Year in Review Progress 8 Carbon and Energy 18 Waste and Circularity 21 Packaging 24 Water 26 Biodiversity 28 Human Rights 30 Responsible Supply Chain 34 Sustainable Products 37 Employee Experience 40 Health and Safety 43 Inclusive Experiences 45 Community Impact ,7038949,6.71,,C:\Users\Jhj\Downloads\esg_reports\AMZN\AMZN_ESG_2024.pdf
Apple,E / Environmental,2022,2022,Apple\Apple E 2022 .pdf,Apple E 2022 .pdf,True,128,,2021,Covering fiscal year 2021 Environmental Progress Report Connecting communities around the world Cover photo: We aim to reduce our emissions in ways that consider the low-income and historically marginalized communities that too often bear the brunt of the effects of climate change. We are bringing renewable electricity to 3500 households in South Africa that previously lacked access to electricity. Introduction Lette,24491515,23.36,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2022 .pdf
Apple,E / Environmental,2023,2023,Apple\Apple E 2023.pdf,Apple E 2023.pdf,True,114,,2022;2023,Environmental Progress Report Covering fiscal year 2022 Last updated October 2023 Behind every Apple product is a plan for the future Contents Introduction 3 Letter from Lisa Jackson 4 Report highlights 5 Our environmental strategy 6 Goals Climate Change 8 Goals and progress 9 Our approach 14 Low-carbon design 17 Energy efficiency 20 Clean electricity 26 Direct emissions abatement 27 Carbon removal Resources 32 Goals,15806770,15.07,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2023.pdf
Apple,E / Environmental,2024,2024,Apple\Apple E 2024.pdf,Apple E 2024.pdf,True,113,2024 Environmental Progress Report,2023;2030,Environmental Progress Report Covering fiscal year 2023 Contents Environmental Initiatives Apple 2030 11 Journey to Apple 2030 12 Approach 15 Design and materials 24 Electricity 32 Direct emissions 35 Carbon removal Resources 39 Approach 40 Product longevity 45 Material recovery 48 Water 52 Zero waste Smarter Chemistry 58 Approach 59 Mapping 61 Assessment 63 Innovation Introduction 3 Reflections from Lisa Jackson 4 R,30779579,29.35,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2024.pdf
Apple,E / Environmental,2025,2025,Apple\Apple E 2025.pdf,Apple E 2025.pdf,True,126,Apple 2025 Environmental Progress Report,2024;2030,Covering fiscal year 2024 Environmental Progress Report Contents Introduction 3 Reflections from Lisa Jackson 4 Report highlights 5 Goals and progress Environmental Initiatives Apple 2030 9 Apple 2030 journey 10 Approach 13 Design and materials 22 Electricity 30 Direct GHG emissions 34 Carbon removal Resources 38 Approach 39 Product longevity 44 Material recovery 48 Water 53 Zero waste Smarter Chemistry 59 Approach 6,22928608,21.87,,C:\Users\Jhj\Downloads\esg_reports\Apple\Apple E 2025.pdf
